,Word,ConcRating,Mean Sharedness,Absolute Sharedness,Most Rel Words,Sem Feats
9419,doll,5,3,"[2, 4, 4, 3, 2]","['pogo', 'crib', 'ware', 'rare', 'cube']","['clothing_clothes_clothed_piece_lacks', 'children_used_adults_play_infants', 'collectible_memorabilia_item_collectibles_antique', 'toy_toys_slime_plays_children', 'face_facial_six_faces_features']"
2790,bike,5,3.7857142857142856,"[10, 6, 5, 4, 7, 3, 3, 3, 2, 2, 2, 2, 2, 2]","['taxi', 'auto', 'cart', 'semi', 'quad']","['transportation_used_transporting_goods_transport', 'vehicle_automobile_road_part_car', 'wheels_four_drive_wheel_two', 'ridden_rides_bicycles_bicycle_ride', 'exercise_form_exercises_exertion_workout', 'pedals_treadles_pedal_wah_foot', 'handlebars_steering_toolbars_minibar_handlebar', 'seat_seats_flat_platform_saddle', 'frame_frames_consists_series_support', 'gears_gear_equipped_engages_interlocks', 'brakes_air_braking_stopping_controlled', 'environmentally_friendly_sustainable_sustainability_eco', 'balance_requires_operate_skill_use', 'carts_basket_shopping_baskets_carrying']"
18017,knee,5,3.875,"[9, 4, 7, 2, 3, 3, 1, 2]","['gout', 'butt', 'shin', 'warp', 'kick']","['injury_cause_injuries_causes_susceptible', 'tendons_muscles_ligaments_gluteal_tendon', 'bending_bend_bent_twisting_easily', 'arthritis_form_hock_suffer_symptom', 'joints_joint_elbows_wrists_inflammation', 'leg_located_thigh_knee_end', 'knee_patella_length_kneecap_ankle', 'cartilage_cushion_structure_contains_joints']"
2476,bean,5,4,"[7, 5, 6, 2, 2, 2, 4]","['okra', 'lima', 'veal', 'dill', 'curd']","['dried_fresh_prunes_eaten_used', 'soups_stews_used_chowders_soup', 'protein_high_rich_fat_higher', 'legume_legumes_vegetables_made_member', 'pods_grows_pod_immature_harvested', 'flour_ground_hamburger_refine_cornmeal', 'cooked_texture_chewy_crispy_mucilaginous']"
21033,neck,5,4.4,"[6, 3, 5, 5, 3]","['arms', 'nape', 'body', 'bile', 'back']","['muscles_contains_made_muscle_skin', 'vertebrae_cervical_crest_contains_spine', 'head_covers_wedge_supports_connects', 'digestive_system_tract_intestines_stomach', 'adorned_jewelry_necklaces_tattoos_tattooed']"
15163,horn,5,4.5,"[6, 3]","['wall', 'bell', 'mike', 'ammo', 'tuba']","['sound_produces_blown_sounds_captures', 'brass_made_steel_stainless_bronze']"
25501,raft,5,4.571428571428571,"[3, 10, 6, 3, 2, 3, 5]","['pump', 'semi', 'boat', 'cart', 'buoy']","['emergencies_emergency_used_situations_services', 'transportation_used_transporting_goods_transport', 'water_used_plumbing_accessing_purification', 'floats_water_float_sinks_liquids', 'engine_diesel_engines_powered_gasoline', 'carries_goods_people_bundle_possessions', 'inflated_inflate_inflatable_air_tires']"
18350,leaf,5,4.625,"[4, 3, 2, 5, 5, 6, 8, 4]","['stem', 'tree', 'kelp', 'date', 'moss']","['plant_part_reproductive_unit_vascular', 'photosynthetic_photosynthesizes_photosynthesis_photosynthesize_organ', 'veins_arteries_veined_skin_nuggets', 'color_changes_change_colors_leaves', 'oxygen_respiration_extracts_produces_water', 'green_color_inside_putting_occurs', 'grows_trees_forests_palm_branches', 'wax_waxy_waxed_primed_opposite']"
2056,baby,5,4.714285714285714,"[6, 7, 4, 3, 5, 7, 1]","['babe', 'runt', 'tyke', 'kids', 'meth']","['skin_brown_soft_smooth_fuzzy', 'teeth_tooth_baby_develops_dental', 'young_child_human_humans_newborn', 'care_constant_requires_needs_special', 'cries_cry_crying_communicate_loud', 'sleep_sleeps_rest_sleeping_string', 'diapers_wears_potty_trained_diaper']"
32488,toad,5,4.888888888888889,"[3, 4, 3, 15, 7, 2, 3, 1, 6]","['frog', 'newt', 'bird', 'fish', 'lice']","['amphibian_amphibians_larval_frogs_stages', 'breathes_skin_lungs_underwater_breathe', 'jump_distances_long_leap_great', 'lays_eggs_laying_water_lay', 'insects_eats_seeds_worms_feeds', 'squat_buttocks_body_gyrations_squatting', 'mammary_glands_gland_parotoid_lupulin', 'toxins_mycotoxins_produces_lanolin_defense', 'skin_brown_soft_smooth_fuzzy']"
