Word,Meanings,labels,newMeaning,features,keep_semfeat
trod,Refers to walking or stepping,3784,"Refers to walking or stepping Can imply wearing down a path May indicate following in someone's footsteps Refers to the act of walking or stepping Can indicate having walked over a surface Refers to walking Describes walking in a heavy, firm way Often associated with traveling by foot Refers to walking heavily or laboriously Typically used to describe walking Refers to the way in which an individual walks Refers to the manner of walking Refers to the manner of walking Is a manner of walking Refers to an impediment in the ability to walk Refers to difficulty in walking Refers to difficulty walking Is a way or track laid down for walking or made by continual treading Is a way or track laid down for walking or made by continual treading Is a term for a wanderer Denotes a type of walking Denotes a type of walking Is a manner of walking or running Represents a long walk Used to describe leisurely walks",walking_refers_manner_way_treading,True
trod,Can leave impressions or footprints,3176,Can leave impressions or footprints Indicates leaving footprints or marks May imply leaving marks or footprints Leaves footprints Can lead to footprints being left in soft ground May leave deep footprints Can leave deep footprints Leaves large footprints Believed to leave large footprints Leaves large footprints,footprints_leave_leaves_leaving_large,True
trod,May involve stepping on something,1128,"May involve stepping on something Often suggests a heavy or firm step Can imply stepping heavily or firmly Causes minor injury if stepped on Is stepped on Can be stepped on Can be stepped on Can be stepped or unstepped Can be deck-stepped or keel-stepped Could cause injury if stepped on, especially a tree stump Can bear a person's step Can walk sideways Can walk sideways Walks sideways Walks sideways May result in stumbling or staggering",stepped_sideways_stepping_walks_walk,True
pant,Covers the legs,1895,Covers the legs Covers the legs Covers the lower body Covers the lower body Covers the body Covers the body Covers the body Covers the body Covers the torso and arms Covers the body Covers the body Is the outer covering of the body Covers the body Drapes over the body Covers from chest to legs Typically less exposed than the front of the body Covers the body Covers the upper body Usually covers the upper body Covers the body,covers_body_legs_upper_lower,True
pant,Has a waistband,2315,Has a waistband Has a waistband Has a waistband Usually has a waistband Elastic waistband for fit Has an elastic waistband Waistband made of elastic or ribbon Has a waistband Has a waistband Has a waistband Often has a leather patch on the back waistband Perimeter consists of a continuous curve,waistband_elastic_ribbon_patch_perimeter,True
pant,Often has a zipper,1041,"Often has a zipper Often has a zipper and button Fastens with buttons or zippers Fastens with a zipper and button Can be buttoned Can have buttons Often has buttons Can be buttoned Has buttonholes or links Has a zipper or buttons Has a zipper or buttons Has a zipper and button closure Has a zipper or buttons Designed to be buttoned or unbuttoned May have decorative buttons on the cuffs Features buttons and possibly a zipper Has buttons Has buttons Can have buttons or a zipper Has buttons or a zipper Often has buttons or a zipper Has buttons or a zipper May have a zipper or buttons May have a zipper or buttons Has buttons or a zipper Often has buttons or a zipper Often has buttons or a zipper Often has buttons Has latches, zippers, or fasteners May use buttons, zippers, and other fasteners",buttons_zipper_buttoned_zippers_button,True
pant,May have pockets,1336,May have pockets Includes pockets Often has pockets Often has pockets Often has pockets May have pockets Often has pockets Has pockets Traditionally has five pockets Contains pockets Has pockets Has pockets Has pockets on the inside and outside of the jacket Has pockets Has pockets Has pockets May have pockets Has pockets May have pockets Has pockets Can fit into wallets and pockets Has a pocket for catching Has a pocket for catching Often has pockets May have pockets May have pockets Can have pockets Can have pockets inside Has a pocket inside Has a pocket Has a pocket Is a closed pocket or pouch in the body,pockets_pocket_inside_catching_may,True
pant,Made of fabric,128,"Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of tulle or netting Is made of tulle or netting Made of tulle or netting Made of tulle or netting Made of fabric Historically made of cloth or linen Made of fabric Made of fabric Made from tartan fabric Made of tartan fabric Made of denim Made of denim Made of denim Made of denim Made of various fabrics Made from fabric Made of fabric Made from similar fabric Typically made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Made of fabric Is made of fabric Made of fabric Typically made of fabric Often made of fabric Made of flexible, waterproof material Made of fabric Made of fabric Made of fabric Made of polyester or nylon Made of fabric Made of a single piece of cloth Made of a single piece of cloth Is made of fabric Is usually made of a thin fabric Is made of fabric Made of fabric Commonly made of fabric Made from various fabrics Made of cloth or paper Often made of cloth Made of fabric Made of fabric Made of fabric",fabric_made_tulle_cloth_denim,True
pant,Comes in various sizes,190,Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in different sizes Comes in various sizes Comes in various sizes and styles Comes in different sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes and fits Comes in various sizes Comes in various sizes Comes in different sizes Comes in various sizes Comes in different sizes Comes in various sizes Comes in various sizes Comes in various sizes and lengths Comes in various sizes and weights Comes in different sizes Comes in various sizes and weights Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in different sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in different sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes and lengths Comes in various sizes Comes in various sizes and formats Comes in various sizes Comes in various sizes Comes in various sizes Comes in different sizes Comes in various sizes Comes in various sizes Comes in various styles and sizes Comes in various sizes Comes in various sizes and lengths Comes in different sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes and styles Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes and styles Comes in various sizes and diameters Comes in various sizes and diameters Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes and colors Comes in various sizes Comes in various sizes Comes in different sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in different sizes Comes in various sizes Comes in different sizes Comes in different sizes Comes in different sizes Comes in various sizes Comes in varying sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes Comes in various sizes and capacities Comes in various sizes,sizes_comes_various_different_styles,True
pant,Can have belt loops,3048,Can have belt loops May have belt loops Can have belt loops May have belt loops Tied with a sash or belt Usually comes with a belt Typically has a belt or tie May have belts indicating ranks Follows a hierarchy of belts to signify ranks May have belts indicating rank Belt system indicates rank Has belt ranking system Uses colored belts to indicate rank Uses colored belts to indicate rank Has belt loops Often has belt loops Often worn with a belt Has belt loops May have belt loops Common in seatbelt reminder systems Can include accessories like a tie or belt Some have belts or cuffs Studded belts and jewelry,belt_loops_belts_rank_ranks,True
