WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,Cloze_name,Cloze_code,WordInput
1,914.9723172382267,11,9,1.6990000009536743,9,True,1.0,pant,low_cloze,0.0006333122229259025,pant
261,868.089925816601,6,5,2.9565999507904053,13,True,1.0,jean,low_cloze,0.0006333122229259025,jean
155,881.2773696929446,9,5,2.3578999042510986,7,True,1.0,crow,low_cloze,0.0006333122229259025,crow
335,940.1861043279107,10,12,2.4547998905181885,10,True,1.0,dove,low_cloze,0.0006333122229259025,dove
12,885.7262756788945,6,2,2.7809998989105225,14,True,1.0,frog,low_cloze,0.0006333122229259025,frog
442,800.5728988902177,6,4,1.8387999534606934,10,True,1.0,newt,low_cloze,0.0006333122229259025,newt
135,798.8091602765633,6,1,3.0183000564575195,10,True,1.0,earl,low_cloze,0.0006333122229259025,earl
972,893.6725706804906,9,7,3.1064999103546143,13,True,1.0,duke,low_cloze,0.0006333122229259025,duke
214,678.1514405324713,4,0,2.835700035095215,8,True,1.0,exam,low_cloze,0.0006333122229259025,exam
992,918.5548875471337,9,12,3.6324000358581543,11,True,1.0,test,low_cloze,0.0006333122229259025,test
157,920.3029251732229,8,8,1.5563000440597534,12,True,1.0,fowl,low_cloze,0.0006333122229259025,fowl
514,925.0901401059382,7,1,3.365299940109253,11,True,1.0,bird,low_cloze,0.0006333122229259025,bird
542,898.4976170477916,8,8,2.542799949645996,15,True,1.0,swan,low_cloze,0.0006333122229259025,swan
603,927.4816420997267,11,14,3.1017000675201416,15,True,1.0,duck,low_cloze,0.0006333122229259025,duck
2,829.0692785743804,7,5,2.637500047683716,10,True,1.0,robe,low_cloze,0.0006333122229259025,robe
781,924.4656302688379,9,11,2.4547998905181885,11,True,1.0,vest,low_cloze,0.0006333122229259025,vest
146,706.750840578436,4,1,1.6434999704360962,11,True,1.0,zinc,low_cloze,0.0006333122229259025,zinc
938,917.4311403605216,10,12,3.6280999183654785,16,True,1.0,lead,low_cloze,0.0006333122229259025,lead
369,829.0827417138565,6,4,2.004300117492676,10,True,1.0,barf,low_cloze,0.0006333122229259025,barf
755,923.2346161957767,8,5,2.5051000118255615,10,True,1.0,puke,low_cloze,0.0006333122229259025,puke
246,749.1580851947538,5,1,2.8608999252319336,9,True,1.0,debt,low_cloze,0.0006333122229259025,debt
1080,914.3192004970506,9,6,3.00600004196167,9,True,1.0,loan,low_cloze,0.0006333122229259025,loan
441,928.4783938515675,10,11,2.5262999534606934,10,True,1.0,mice,low_cloze,0.0006333122229259025,mice
905,906.8524316670855,8,5,2.176100015640259,13,True,1.0,puss,low_cloze,0.0006333122229259025,puss
422,915.8778077060861,6,1,2.8942999839782715,16,True,1.0,lion,low_cloze,0.0006333122229259025,lion
616,812.1220264127428,6,1,0.9031000137329102,9,True,1.0,puma,low_cloze,0.0006333122229259025,puma
721,789.6964226593025,8,4,1.5563000440597534,11,True,1.0,axes,low_cloze,0.0006333122229259025,axes
963,834.5252323470792,7,3,1.2303999662399292,9,True,1.0,maul,low_cloze,0.0006333122229259025,maul
439,858.0719850345898,7,7,1.9138000011444092,8,True,1.0,stag,low_cloze,0.0006333122229259025,stag
723,925.9970313534983,9,11,3.2360000610351562,11,True,1.0,buck,low_cloze,0.0006333122229259025,buck
566,917.3763714740729,11,12,3.4321999549865723,11,True,1.0,rose,low_cloze,0.0006333122229259025,rose
711,888.355402752239,7,1,3.13700008392334,10,True,1.0,lily,low_cloze,0.0006333122229259025,lily
573,925.2657574257088,8,6,2.767199993133545,16,True,1.0,dish,low_cloze,0.0006333122229259025,dish
