WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,SemRelatedtoCompetitor_name,HasCompetitor_name,Constraint_name,SemRelatedtoCompetitor_code,HasCompetitor_code,Constraint_code,WordInput
1,830.2951201448417,10,9,1.6990000009536743,9,True,1.0,pant,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,pant
261,710.3971627774528,6,5,2.9565999507904053,13,True,1.0,jean,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,jean
155,757.9919378871075,8,5,2.3578999042510986,7,True,1.0,crow,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,crow
335,811.5324791782821,9,12,2.4547998905181885,10,True,1.0,dove,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,dove
12,705.5002998647221,6,2,2.7809998989105225,14,True,1.0,frog,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,frog
442,642.5310470964129,6,4,1.8387999534606934,10,True,1.0,newt,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,newt
135,186.5930125823434,2,1,3.0183000564575195,10,True,1.0,earl,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,earl
972,767.9447811443858,9,7,3.1064999103546143,13,True,1.0,duke,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,duke
214,484.45938336363497,4,0,2.835700035095215,8,True,1.0,exam,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,exam
992,564.0986832478704,5,12,3.6324000358581543,11,True,1.0,test,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,test
157,760.7033649100956,8,8,1.5563000440597534,12,True,1.0,fowl,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,fowl
514,768.9804760161221,7,1,3.365299940109253,11,True,1.0,bird,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,bird
542,741.9480014315701,8,8,2.542799949645996,15,True,1.0,swan,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,swan
603,845.0471651546957,10,14,3.1017000675201416,15,True,1.0,duck,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,duck
2,669.0771822608011,7,5,2.637500047683716,10,True,1.0,robe,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,robe
781,786.6798078973522,9,11,2.4547998905181885,11,True,1.0,vest,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,vest
146,469.0161100436109,4,1,1.6434999704360962,11,True,1.0,zinc,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,zinc
938,834.7151948801951,10,12,3.6280999183654785,16,True,1.0,lead,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,lead
369,676.758988441495,6,4,2.004300117492676,10,True,1.0,barf,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,barf
755,775.2323154271472,8,5,2.5051000118255615,10,True,1.0,puke,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,puke
246,539.3610101832102,5,1,2.8608999252319336,9,True,1.0,debt,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,debt
1080,788.4615385744053,9,6,3.00600004196167,9,True,1.0,loan,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,loan
441,799.224212531007,10,11,2.5262999534606934,10,True,1.0,mice,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,mice
905,761.7112457386959,8,5,2.176100015640259,13,True,1.0,puss,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,puss
422,635.958594355329,5,1,2.8942999839782715,16,True,1.0,lion,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,lion
616,644.4049473302731,6,1,0.9031000137329102,9,True,1.0,puma,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,puma
721,639.1211380061179,8,4,1.5563000440597534,11,True,1.0,axes,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,axes
963,685.3217406590788,7,3,1.2303999662399292,9,True,1.0,maul,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,maul
439,731.0458890659827,7,7,1.9138000011444092,8,True,1.0,stag,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,stag
723,802.9977580482912,9,11,3.2360000610351562,11,True,1.0,buck,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,buck
566,824.0803405823533,10,12,3.4321999549865723,11,True,1.0,rose,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,rose
711,724.6011997696136,7,1,3.13700008392334,10,True,1.0,lily,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,lily
573,801.7305159986184,8,6,2.767199993133545,16,True,1.0,dish,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,dish
599,741.4842556582499,8,6,3.039400100708008,9,True,1.0,bowl,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,bowl
1117,782.8276934178181,7,3,4.0991997718811035,9,True,1.0,hurt,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,hurt
1152,793.959071080884,8,7,3.6986000537872314,13,True,1.0,pain,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,pain
576,783.2560926209628,8,5,2.617000102996826,11,True,1.0,pony,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,pony
680,820.1468224725375,10,18,2.1731998920440674,13,True,1.0,mare,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,mare
8,725.7264182956892,7,6,2.1238999366760254,7,True,1.0,gram,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,gram
1239,684.6472424599324,6,4,1.9084999561309814,10,True,1.0,kilo,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,kilo
620,716.4306268620928,7,6,3.200900077819824,10,True,1.0,bath,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,bath
684,809.7826452594757,11,12,2.936500072479248,8,True,1.0,sink,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,sink
946,821.4842458208208,9,11,1.7559000253677368,13,True,1.0,gull,Unrelated,NoCompetitor,Low,-0.5,-0.5,-0.5,gull
