WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,Constraint_name,IsExpected_name,Constraint_code,IsExpected_code,WordInput
155,881.2773696929446,9,5,2.3578999042510986,7,True,1.0,crow,LowConstraint,Unexpected,-0.5,-0.5,crow
335,940.1861043279107,10,12,2.4547998905181885,10,True,1.0,dove,LowConstraint,Unexpected,-0.5,-0.5,dove
1,914.9723172382267,11,9,1.6990000009536743,9,True,1.0,pant,LowConstraint,Unexpected,-0.5,-0.5,pant
261,868.089925816601,6,5,2.9565999507904053,13,True,1.0,jean,LowConstraint,Unexpected,-0.5,-0.5,jean
135,798.8091602765633,6,1,3.0183000564575195,10,True,1.0,earl,LowConstraint,Unexpected,-0.5,-0.5,earl
972,893.6725706804906,9,7,3.1064999103546143,13,True,1.0,duke,LowConstraint,Unexpected,-0.5,-0.5,duke
12,885.7262756788945,6,2,2.7809998989105225,14,True,1.0,frog,LowConstraint,Unexpected,-0.5,-0.5,frog
442,800.5728988902177,6,4,1.8387999534606934,10,True,1.0,newt,LowConstraint,Unexpected,-0.5,-0.5,newt
157,920.3029251732229,8,8,1.5563000440597534,12,True,1.0,fowl,LowConstraint,Unexpected,-0.5,-0.5,fowl
514,925.0901401059382,7,1,3.365299940109253,11,True,1.0,bird,LowConstraint,Unexpected,-0.5,-0.5,bird
214,678.1514405324713,4,0,2.835700035095215,8,True,1.0,exam,LowConstraint,Unexpected,-0.5,-0.5,exam
992,918.5548875471337,9,12,3.6324000358581543,11,True,1.0,test,LowConstraint,Unexpected,-0.5,-0.5,test
2,829.0692785743804,7,5,2.637500047683716,10,True,1.0,robe,LowConstraint,Unexpected,-0.5,-0.5,robe
781,924.4656302688379,9,11,2.4547998905181885,11,True,1.0,vest,LowConstraint,Unexpected,-0.5,-0.5,vest
542,898.4976170477916,8,8,2.542799949645996,15,True,1.0,swan,LowConstraint,Unexpected,-0.5,-0.5,swan
603,927.4816420997267,11,14,3.1017000675201416,15,True,1.0,duck,LowConstraint,Unexpected,-0.5,-0.5,duck
369,829.0827417138565,6,4,2.004300117492676,10,True,1.0,barf,LowConstraint,Unexpected,-0.5,-0.5,barf
755,923.2346161957767,8,5,2.5051000118255615,10,True,1.0,puke,LowConstraint,Unexpected,-0.5,-0.5,puke
146,706.750840578436,4,1,1.6434999704360962,11,True,1.0,zinc,LowConstraint,Unexpected,-0.5,-0.5,zinc
938,917.4311403605216,10,12,3.6280999183654785,16,True,1.0,lead,LowConstraint,Unexpected,-0.5,-0.5,lead
441,928.4783938515675,10,11,2.5262999534606934,10,True,1.0,mice,LowConstraint,Unexpected,-0.5,-0.5,mice
905,906.8524316670855,8,5,2.176100015640259,13,True,1.0,puss,LowConstraint,Unexpected,-0.5,-0.5,puss
246,749.1580851947538,5,1,2.8608999252319336,9,True,1.0,debt,LowConstraint,Unexpected,-0.5,-0.5,debt
1080,914.3192004970506,9,6,3.00600004196167,9,True,1.0,loan,LowConstraint,Unexpected,-0.5,-0.5,loan
721,789.6964226593025,8,4,1.5563000440597534,11,True,1.0,axes,LowConstraint,Unexpected,-0.5,-0.5,axes
963,834.5252323470792,7,3,1.2303999662399292,9,True,1.0,maul,LowConstraint,Unexpected,-0.5,-0.5,maul
422,915.8778077060861,6,1,2.8942999839782715,16,True,1.0,lion,LowConstraint,Unexpected,-0.5,-0.5,lion
616,812.1220264127428,6,1,0.9031000137329102,9,True,1.0,puma,LowConstraint,Unexpected,-0.5,-0.5,puma
566,917.3763714740729,11,12,3.4321999549865723,11,True,1.0,rose,LowConstraint,Unexpected,-0.5,-0.5,rose
711,888.355402752239,7,1,3.13700008392334,10,True,1.0,lily,LowConstraint,Unexpected,-0.5,-0.5,lily
439,858.0719850345898,7,7,1.9138000011444092,8,True,1.0,stag,LowConstraint,Unexpected,-0.5,-0.5,stag
723,925.9970313534983,9,11,3.2360000610351562,11,True,1.0,buck,LowConstraint,Unexpected,-0.5,-0.5,buck
1117,910.8189551305286,8,3,4.0991997718811035,9,True,1.0,hurt,LowConstraint,Unexpected,-0.5,-0.5,hurt
1152,913.5072786986314,8,7,3.6986000537872314,13,True,1.0,pain,LowConstraint,Unexpected,-0.5,-0.5,pain
573,925.2657574257088,8,6,2.767199993133545,16,True,1.0,dish,LowConstraint,Unexpected,-0.5,-0.5,dish
599,865.1898265865159,8,6,3.039400100708008,9,True,1.0,bowl,LowConstraint,Unexpected,-0.5,-0.5,bowl
8,894.0007318106302,9,6,2.1238999366760254,7,True,1.0,gram,LowConstraint,Unexpected,-0.5,-0.5,gram
1239,836.8439277988834,6,4,1.9084999561309814,10,True,1.0,kilo,LowConstraint,Unexpected,-0.5,-0.5,kilo
576,903.8095111910228,8,5,2.617000102996826,11,True,1.0,pony,LowConstraint,Unexpected,-0.5,-0.5,pony
680,918.6857853439203,11,18,2.1731998920440674,13,True,1.0,mare,LowConstraint,Unexpected,-0.5,-0.5,mare
946,926.112717453749,9,11,1.7559000253677368,13,True,1.0,gull,LowConstraint,Unexpected,-0.5,-0.5,gull
1261,925.8304311964519,12,15,1.5681999921798706,9,True,1.0,coot,LowConstraint,Unexpected,-0.5,-0.5,coot
620,895.5712243203263,9,6,3.200900077819824,10,True,1.0,bath,LowConstraint,Unexpected,-0.5,-0.5,bath
684,902.5207336658023,11,12,2.936500072479248,8,True,1.0,sink,LowConstraint,Unexpected,-0.5,-0.5,sink
118,749.9186455314724,5,0,2.433000087738037,7,True,1.0,nova,LowConstraint,Unexpected,-0.5,-0.5,nova
709,918.2436047367813,9,9,3.618000030517578,13,True,1.0,star,LowConstraint,Unexpected,-0.5,-0.5,star
623,925.2313993244188,9,10,2.789599895477295,14,True,1.0,dime,LowConstraint,Unexpected,-0.5,-0.5,dime
909,905.0268339723864,9,10,2.684799909591675,12,True,1.0,cent,LowConstraint,Unexpected,-0.5,-0.5,cent
270,919.967114866299,9,7,2.285599946975708,10,True,1.0,pact,LowConstraint,Unexpected,-0.5,-0.5,pact
1255,925.2694210934899,11,14,4.124899864196777,11,True,1.0,deal,LowConstraint,Unexpected,-0.5,-0.5,deal
1437,920.4892628116717,12,16,1.544100046157837,9,True,1.0,lore,LowConstraint,Unexpected,-0.5,-0.5,lore
1466,737.4749061064873,5,3,2.547800064086914,6,True,1.0,myth,LowConstraint,Unexpected,-0.5,-0.5,myth
1251,854.391320607682,8,10,2.761899948120117,8,True,1.0,rage,LowConstraint,Unexpected,-0.5,-0.5,rage
1311,870.8429485621106,7,2,2.29229998588562,8,True,1.0,fury,LowConstraint,Unexpected,-0.5,-0.5,fury
41,903.4230823606206,9,7,2.6989998817443848,12,True,1.0,silk,LowConstraint,Unexpected,-0.5,-0.5,silk
