WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,Relatedness_name,Relatedness_code,WordInput
155,886.0439929760662,9,5,2.3578999042510986,7,True,1.0,crow,SemUnrelated,-0.5,crow
335,948.9575979066228,10,12,2.4547998905181885,10,True,1.0,dove,SemUnrelated,-0.5,dove
1,918.1570108078613,11,9,1.6990000009536743,9,True,1.0,pant,SemUnrelated,-0.5,pant
261,873.7041338301866,6,5,2.9565999507904053,13,True,1.0,jean,SemUnrelated,-0.5,jean
135,808.2383302991993,6,1,3.0183000564575195,10,True,1.0,earl,SemUnrelated,-0.5,earl
972,900.6562913725777,9,7,3.1064999103546143,13,True,1.0,duke,SemUnrelated,-0.5,duke
12,892.4185299415312,6,2,2.7809998989105225,14,True,1.0,frog,SemUnrelated,-0.5,frog
442,808.2016399397163,6,4,1.8387999534606934,10,True,1.0,newt,SemUnrelated,-0.5,newt
157,926.5202561291401,8,8,1.5563000440597534,12,True,1.0,fowl,SemUnrelated,-0.5,fowl
514,932.7063871217384,7,1,3.365299940109253,11,True,1.0,bird,SemUnrelated,-0.5,bird
214,681.2063325846119,4,0,2.835700035095215,8,True,1.0,exam,SemUnrelated,-0.5,exam
992,921.7766045214576,9,12,3.6324000358581543,11,True,1.0,test,SemUnrelated,-0.5,test
2,796.6706838436769,7,5,2.637500047683716,10,True,1.0,robe,SemUnrelated,-0.5,robe
781,932.4632220367051,9,11,2.4547998905181885,11,True,1.0,vest,SemUnrelated,-0.5,vest
542,902.2225104785954,8,8,2.542799949645996,15,True,1.0,swan,SemUnrelated,-0.5,swan
603,934.7074412404638,11,14,3.1017000675201416,15,True,1.0,duck,SemUnrelated,-0.5,duck
369,835.4823924011729,6,4,2.004300117492676,10,True,1.0,barf,SemUnrelated,-0.5,barf
755,933.6798649396166,8,5,2.5051000118255615,10,True,1.0,puke,SemUnrelated,-0.5,puke
146,714.1776544075741,4,1,1.6434999704360962,11,True,1.0,zinc,SemUnrelated,-0.5,zinc
938,923.1862921895593,10,12,3.6280999183654785,16,True,1.0,lead,SemUnrelated,-0.5,lead
441,934.8897702478771,10,11,2.5262999534606934,10,True,1.0,mice,SemUnrelated,-0.5,mice
905,913.6554755500474,8,5,2.176100015640259,13,True,1.0,puss,SemUnrelated,-0.5,puss
246,756.1308649590675,5,1,2.8608999252319336,9,True,1.0,debt,SemUnrelated,-0.5,debt
1080,918.0308317530507,9,6,3.00600004196167,9,True,1.0,loan,SemUnrelated,-0.5,loan
721,799.2287249483901,8,4,1.5563000440597534,11,True,1.0,axes,SemUnrelated,-0.5,axes
963,833.3901691938169,7,3,1.2303999662399292,9,True,1.0,maul,SemUnrelated,-0.5,maul
422,922.1782766754131,6,1,2.8942999839782715,16,True,1.0,lion,SemUnrelated,-0.5,lion
616,816.9953851964112,6,1,0.9031000137329102,9,True,1.0,puma,SemUnrelated,-0.5,puma
566,922.5565029040936,11,12,3.4321999549865723,11,True,1.0,rose,SemUnrelated,-0.5,rose
711,896.536349568358,7,1,3.13700008392334,10,True,1.0,lily,SemUnrelated,-0.5,lily
439,866.2565209547656,7,7,1.9138000011444092,8,True,1.0,stag,SemUnrelated,-0.5,stag
723,932.4086553862351,9,11,3.2360000610351562,11,True,1.0,buck,SemUnrelated,-0.5,buck
1117,919.587339846879,8,3,4.0991997718811035,9,True,1.0,hurt,SemUnrelated,-0.5,hurt
1152,889.5740310883548,8,7,3.6986000537872314,13,True,1.0,pain,SemUnrelated,-0.5,pain
573,930.2720418890319,8,6,2.767199993133545,16,True,1.0,dish,SemUnrelated,-0.5,dish
599,873.0761056437301,8,6,3.039400100708008,9,True,1.0,bowl,SemUnrelated,-0.5,bowl
8,901.4642774622769,9,6,2.1238999366760254,7,True,1.0,gram,SemUnrelated,-0.5,gram
1239,845.2258180873248,6,4,1.9084999561309814,10,True,1.0,kilo,SemUnrelated,-0.5,kilo
576,879.5425651012516,8,5,2.617000102996826,11,True,1.0,pony,SemUnrelated,-0.5,pony
680,924.9326473419826,11,18,2.1731998920440674,13,True,1.0,mare,SemUnrelated,-0.5,mare
946,931.3927467799416,9,11,1.7559000253677368,13,True,1.0,gull,SemUnrelated,-0.5,gull
1261,924.7780895508513,12,15,1.5681999921798706,9,True,1.0,coot,SemUnrelated,-0.5,coot
620,883.4850760257999,9,6,3.200900077819824,10,True,1.0,bath,SemUnrelated,-0.5,bath
684,907.7765170361497,11,12,2.936500072479248,8,True,1.0,sink,SemUnrelated,-0.5,sink
118,755.0390603173503,5,0,2.433000087738037,7,True,1.0,nova,SemUnrelated,-0.5,nova
709,926.218809527081,9,9,3.618000030517578,13,True,1.0,star,SemUnrelated,-0.5,star
623,894.7228427927035,9,10,2.789599895477295,14,True,1.0,dime,SemUnrelated,-0.5,dime
909,913.9212103358401,9,10,2.684799909591675,12,True,1.0,cent,SemUnrelated,-0.5,cent
270,925.4516320689015,9,7,2.285599946975708,10,True,1.0,pact,SemUnrelated,-0.5,pact
1255,928.9991674708959,11,14,4.124899864196777,11,True,1.0,deal,SemUnrelated,-0.5,deal
1437,925.2584232825609,12,16,1.544100046157837,9,True,1.0,lore,SemUnrelated,-0.5,lore
1466,741.0261162695818,5,3,2.547800064086914,6,True,1.0,myth,SemUnrelated,-0.5,myth
1251,862.1674571451204,8,10,2.761899948120117,8,True,1.0,rage,SemUnrelated,-0.5,rage
1311,877.0149448939655,7,2,2.29229998588562,8,True,1.0,fury,SemUnrelated,-0.5,fury
41,907.4196331262716,9,7,2.6989998817443848,12,True,1.0,silk,SemUnrelated,-0.5,silk
610,900.0185056806943,8,6,2.2095000743865967,9,True,1.0,wool,SemUnrelated,-0.5,wool
910,810.4952694740629,6,4,1.857300043106079,8,True,1.0,wept,SemUnrelated,-0.5,wept
1150,851.2021036688768,7,3,1.462399959564209,7,True,1.0,bawl,SemUnrelated,-0.5,bawl
510,922.0111723461216,7,3,3.629300117492676,14,True,1.0,fish,SemUnrelated,-0.5,fish
585,826.3019235547856,6,2,2.6117000579833984,12,True,1.0,tuna,SemUnrelated,-0.5,tuna
22,846.9515546656912,7,5,2.4065001010894775,12,True,1.0,herb,SemUnrelated,-0.5,herb
241,918.0940285888449,9,12,1.954200029373169,11,True,1.0,sage,SemUnrelated,-0.5,sage
937,871.914284955307,7,8,3.8190999031066895,7,True,1.0,king,SemUnrelated,-0.5,king
1003,644.9103563561329,4,1,1.3009999990463257,9,True,1.0,tsar,SemUnrelated,-0.5,tsar
30,803.1949061226284,6,2,1.9911999702453613,11,True,1.0,knit,SemUnrelated,-0.5,knit
1034,852.0930969617439,7,2,1.8260999917984009,10,True,1.0,sewn,SemUnrelated,-0.5,sewn
26,863.4484138426836,7,5,2.3784000873565674,10,True,1.0,limb,SemUnrelated,-0.5,limb
692,915.6650832567278,9,7,4.154200077056885,11,True,1.0,hand,SemUnrelated,-0.5,hand
61,876.8001132661627,9,7,1.9589999914169312,6,True,1.0,dung,SemUnrelated,-0.5,dung
138,903.9457925412092,9,7,3.4986000061035156,7,True,1.0,crap,SemUnrelated,-0.5,crap
57,916.1003522762369,9,7,2.7723000049591064,11,True,1.0,plot,SemUnrelated,-0.5,plot
1222,915.1346639328892,11,13,2.7874999046325684,11,True,1.0,tale,SemUnrelated,-0.5,tale
275,748.3923505541582,4,0,0.9031000137329102,13,True,1.0,ovum,SemUnrelated,-0.5,ovum
821,923.4512567615129,8,10,3.4428999423980713,11,True,1.0,cell,SemUnrelated,-0.5,cell
62,661.5840187803524,4,0,0.3009999990463257,8,True,1.0,lynx,SemUnrelated,-0.5,lynx
595,927.273667520649,12,16,2.29229998588562,8,True,1.0,hare,SemUnrelated,-0.5,hare
240,917.7948318554705,8,4,2.478600025177002,11,True,1.0,glue,SemUnrelated,-0.5,glue
815,667.3206264827734,5,1,1.0,14,True,1.0,inks,SemUnrelated,-0.5,inks
92,884.0787887107563,10,11,2.609600067138672,10,True,1.0,tuck,SemUnrelated,-0.5,tuck
1287,907.9590326206624,10,9,2.851300001144409,8,True,1.0,darn,SemUnrelated,-0.5,darn
213,573.3216077586743,3,0,1.2553000450134277,11,True,1.0,onyx,SemUnrelated,-0.5,onyx
836,859.342306914803,6,3,2.4149999618530273,9,True,1.0,jade,SemUnrelated,-0.5,jade
141,909.655266170502,9,10,2.5694000720977783,10,True,1.0,tick,SemUnrelated,-0.5,tick
587,813.4174298110527,7,5,2.2304000854492188,8,True,1.0,flea,SemUnrelated,-0.5,flea
170,927.4795820105388,9,9,2.2095000743865967,9,True,1.0,funk,SemUnrelated,-0.5,funk
196,686.8072632675878,4,0,2.784600019454956,9,True,1.0,jazz,SemUnrelated,-0.5,jazz
142,876.0698557928033,6,1,2.56469988822937,12,True,1.0,glen,SemUnrelated,-0.5,glen
549,917.6055723020694,10,12,3.282399892807007,13,True,1.0,hill,SemUnrelated,-0.5,hill
294,914.4727709924304,9,6,2.599900007247925,11,True,1.0,soil,SemUnrelated,-0.5,soil
602,882.2443205801039,8,3,3.1175999641418457,5,True,1.0,dirt,SemUnrelated,-0.5,dirt
178,934.3699554275405,9,10,2.8578999042510986,10,True,1.0,bush,SemUnrelated,-0.5,bush
511,917.1497477552399,8,4,3.5206000804901123,15,True,1.0,tree,SemUnrelated,-0.5,tree
384,738.7863687340325,5,1,2.8006999492645264,7,True,1.0,inch,SemUnrelated,-0.5,inch
1291,868.0634530420309,10,8,2.0085999965667725,4,True,1.0,span,SemUnrelated,-0.5,span
186,910.2989512588217,7,3,2.734800100326538,12,True,1.0,lamb,SemUnrelated,-0.5,lamb
608,941.2454844621859,11,11,2.648400068283081,10,True,1.0,deer,SemUnrelated,-0.5,deer
266,828.9539847703469,8,7,1.8920999765396118,9,True,1.0,haze,SemUnrelated,-0.5,haze
488,719.9719983223853,5,1,1.7482000589370728,9,True,1.0,smog,SemUnrelated,-0.5,smog
191,911.5968891164505,9,7,2.164400100708008,8,True,1.0,moss,SemUnrelated,-0.5,moss
524,895.8610277948294,6,0,2.2147998809814453,9,True,1.0,fern,SemUnrelated,-0.5,fern
405,788.5621736516158,6,2,1.6720999479293823,11,True,1.0,acne,SemUnrelated,-0.5,acne
1242,726.9202487097657,5,2,2.330399990081787,11,True,1.0,itch,SemUnrelated,-0.5,itch
230,903.5706091451768,9,8,1.924299955368042,10,True,1.0,lark,SemUnrelated,-0.5,lark
470,834.2162301271513,6,1,1.3009999990463257,6,True,1.0,wren,SemUnrelated,-0.5,wren
314,927.6429994840282,7,3,2.749000072479248,11,True,1.0,shed,SemUnrelated,-0.5,shed
654,916.3933158351053,9,8,4.350599765777588,15,True,1.0,room,SemUnrelated,-0.5,room
233,909.8825288370335,9,7,2.3385000228881836,7,True,1.0,lure,SemUnrelated,-0.5,lure
271,891.2517594868559,8,3,2.6963999271392822,6,True,1.0,bait,SemUnrelated,-0.5,bait
548,902.4277742450525,10,9,3.688999891281128,14,True,1.0,boat,SemUnrelated,-0.5,boat
597,925.5222248146313,10,8,3.7028000354766846,10,True,1.0,ship,SemUnrelated,-0.5,ship
251,850.6678707031773,7,6,1.462399959564209,11,True,1.0,kale,SemUnrelated,-0.5,kale
559,924.1144632684591,9,8,1.2041000127792358,9,True,1.0,leek,SemUnrelated,-0.5,leek
25,885.8444836879364,8,10,1.544100046157837,8,True,1.0,mope,SemUnrelated,-0.5,mope
1474,863.528779505387,8,5,1.7243000268936157,8,True,1.0,glum,SemUnrelated,-0.5,glum
285,932.6734469229339,10,10,2.841399908065796,8,True,1.0,barn,SemUnrelated,-0.5,barn
880,848.9206697623835,7,5,1.6901999711990356,9,True,1.0,silo,SemUnrelated,-0.5,silo
505,674.130335241828,4,0,1.6128000020980835,11,True,1.0,kiwi,SemUnrelated,-0.5,kiwi
626,897.1535948575529,8,5,2.243000030517578,12,True,1.0,plum,SemUnrelated,-0.5,plum
319,913.6005877238601,9,5,1.8691999912261963,8,True,1.0,wasp,SemUnrelated,-0.5,wasp
696,912.2772198475457,7,5,2.436199903488159,13,True,1.0,bees,SemUnrelated,-0.5,bees
545,750.3482473548167,4,0,2.2227001190185547,14,True,1.0,mayo,SemUnrelated,-0.5,mayo
736,929.7305410522589,10,9,1.2553000450134277,10,True,1.0,slaw,SemUnrelated,-0.5,slaw
454,766.0727517506301,5,3,1.3617000579833984,10,True,1.0,oxen,SemUnrelated,-0.5,oxen
