WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,Dummy_name,Dummy_code,WordInput
1,914.3235424815488,11,9,1.6990000009536743,9,True,1.0,pant,dummy,0,pant
261,867.7845186370214,6,5,2.9565999507904053,13,True,1.0,jean,dummy,0,jean
155,880.9390330217673,9,5,2.3578999042510986,7,True,1.0,crow,dummy,0,crow
335,939.7347109492257,10,12,2.4547998905181885,10,True,1.0,dove,dummy,0,dove
12,885.4640576162959,6,2,2.7809998989105225,14,True,1.0,frog,dummy,0,frog
442,800.0784300549657,6,4,1.8387999534606934,10,True,1.0,newt,dummy,0,newt
135,798.2878904563877,6,1,3.0183000564575195,10,True,1.0,earl,dummy,0,earl
972,893.7872108519468,9,7,3.1064999103546143,13,True,1.0,duke,dummy,0,duke
214,677.6587815621521,4,0,2.835700035095215,8,True,1.0,exam,dummy,0,exam
992,918.0814432941759,9,12,3.6324000358581543,11,True,1.0,test,dummy,0,test
157,919.9269176342912,8,8,1.5563000440597534,12,True,1.0,fowl,dummy,0,fowl
514,924.4223537230157,7,1,3.365299940109253,11,True,1.0,bird,dummy,0,bird
542,898.5576050679676,8,8,2.542799949645996,15,True,1.0,swan,dummy,0,swan
603,927.2686780574577,11,14,3.1017000675201416,15,True,1.0,duck,dummy,0,duck
2,828.7461418111519,7,5,2.637500047683716,10,True,1.0,robe,dummy,0,robe
781,924.0257306957044,9,11,2.4547998905181885,11,True,1.0,vest,dummy,0,vest
146,706.5092992995992,4,1,1.6434999704360962,11,True,1.0,zinc,dummy,0,zinc
938,916.6845249612377,10,12,3.6280999183654785,16,True,1.0,lead,dummy,0,lead
369,828.7217946666972,6,4,2.004300117492676,10,True,1.0,barf,dummy,0,barf
755,922.7892586860614,8,5,2.5051000118255615,10,True,1.0,puke,dummy,0,puke
246,749.5298364964527,5,1,2.8608999252319336,9,True,1.0,debt,dummy,0,debt
1080,913.7001705895243,9,6,3.00600004196167,9,True,1.0,loan,dummy,0,loan
441,927.7915903308598,10,11,2.5262999534606934,10,True,1.0,mice,dummy,0,mice
905,906.3170419997296,8,5,2.176100015640259,13,True,1.0,puss,dummy,0,puss
422,914.9065450582042,6,1,2.8942999839782715,16,True,1.0,lion,dummy,0,lion
616,811.6289422901486,6,1,0.9031000137329102,9,True,1.0,puma,dummy,0,puma
721,789.3254585000226,8,4,1.5563000440597534,11,True,1.0,axes,dummy,0,axes
963,834.375776408644,7,3,1.2303999662399292,9,True,1.0,maul,dummy,0,maul
439,857.9555749128647,7,7,1.9138000011444092,8,True,1.0,stag,dummy,0,stag
723,925.302729528479,9,11,3.2360000610351562,11,True,1.0,buck,dummy,0,buck
566,916.9234019305426,11,12,3.4321999549865723,11,True,1.0,rose,dummy,0,rose
711,888.3313184394863,7,1,3.13700008392334,10,True,1.0,lily,dummy,0,lily
