Target,SemRelated_Prime,Unrelated_Prime
pant,jean,crow
jean,pant,dove
crow,dove,pant
dove,crow,jean
frog,newt,earl
newt,frog,duke
earl,duke,frog
duke,earl,newt
exam,test,fowl
test,exam,bird
fowl,bird,exam
bird,fowl,test
swan,duck,robe
duck,swan,vest
robe,vest,swan
vest,robe,duck
zinc,lead,barf
lead,zinc,puke
barf,puke,zinc
puke,barf,lead
debt,loan,mice
loan,debt,puss
mice,puss,debt
puss,mice,loan
lion,puma,axes
puma,lion,maul
axes,maul,lion
maul,axes,puma
stag,buck,rose
buck,stag,lily
rose,lily,stag
lily,rose,buck
dish,bowl,hurt
bowl,dish,pain
hurt,pain,dish
pain,hurt,bowl
pony,mare,gram
mare,pony,kilo
gram,kilo,pony
kilo,gram,mare
bath,sink,gull
sink,bath,coot
gull,coot,bath
coot,gull,sink
dime,cent,nova
cent,dime,star
nova,star,dime
star,nova,cent
lore,myth,pact
myth,lore,deal
pact,deal,lore
deal,pact,myth
silk,wool,rage
wool,silk,fury
rage,fury,silk
fury,rage,wool
fish,tuna,wept
tuna,fish,bawl
wept,bawl,fish
bawl,wept,tuna
king,tsar,herb
tsar,king,sage
herb,sage,king
sage,herb,tsar
limb,hand,knit
hand,limb,sewn
knit,sewn,limb
sewn,knit,hand
plot,tale,dung
tale,plot,crap
dung,crap,plot
crap,dung,tale
lynx,hare,ovum
hare,lynx,cell
ovum,cell,lynx
cell,ovum,hare
tuck,darn,glue
darn,tuck,inks
glue,inks,tuck
inks,glue,darn
tick,flea,onyx
flea,tick,jade
onyx,jade,tick
jade,onyx,flea
glen,hill,funk
hill,glen,jazz
funk,jazz,glen
jazz,funk,hill
bush,tree,soil
tree,bush,dirt
soil,dirt,bush
dirt,soil,tree
lamb,deer,inch
deer,lamb,span
inch,span,lamb
span,inch,deer
moss,fern,haze
fern,moss,smog
haze,smog,moss
smog,haze,fern
lark,wren,acne
wren,lark,itch
acne,itch,lark
itch,acne,wren
lure,bait,shed
bait,lure,room
shed,room,lure
room,shed,bait
kale,leek,boat
leek,kale,ship
boat,ship,kale
ship,boat,leek
barn,silo,mope
silo,barn,glum
mope,glum,barn
glum,mope,silo
wasp,bees,kiwi
bees,wasp,plum
kiwi,plum,wasp
plum,kiwi,bees
oxen,bull,mayo
bull,oxen,slaw
mayo,slaw,oxen
slaw,mayo,bull
cafe,deli,whoa
deli,cafe,oops
whoa,oops,cafe
oops,whoa,deli
pond,lake,riot
lake,pond,thug
riot,thug,pond
thug,riot,lake
beer,sake,pill
sake,beer,drug
pill,drug,beer
drug,pill,sake
face,head,posh
head,face,snob
posh,snob,face
snob,posh,head
rash,welt,nine
welt,rash,four
nine,four,rash
four,nine,welt
peel,rind,scam
rind,peel,dupe
scam,dupe,peel
dupe,scam,rind
boob,teat,spud
teat,boob,chip
spud,chip,boob
chip,spud,teat
sear,bake,goof
bake,sear,typo
goof,typo,sear
typo,goof,bake
gash,burn,lime
burn,gash,pear
lime,pear,gash
pear,lime,burn
duty,role,plus
role,duty,grid
plus,grid,duty
grid,plus,role
hone,rasp,alto
rasp,hone,diva
alto,diva,hone
diva,alto,rasp
boot,heel,taxi
heel,boot,auto
taxi,auto,boot
auto,taxi,heel
font,type,bulb
type,font,lamp
bulb,lamp,font
lamp,bulb,type
oboe,harp,luau
harp,oboe,fest
luau,fest,oboe
fest,luau,harp
moan,yelp,hint
yelp,moan,clue
hint,clue,moan
clue,hint,yelp
snot,nose,opal
nose,snot,ruby
opal,ruby,snot
ruby,opal,nose
path,road,tune
road,path,hymn
tune,hymn,path
hymn,tune,road
pork,beef,tray
beef,pork,case
tray,case,pork
case,tray,beef
vile,good,tush
good,vile,back
tush,back,vile
back,tush,good
quad,jeep,clog
jeep,quad,sock
clog,sock,quad
sock,clog,jeep
mead,wine,spur
wine,mead,trot
spur,trot,mead
trot,spur,wine
cyan,blue,mutt
blue,cyan,dogs
mutt,dogs,cyan
dogs,mutt,blue
sack,tote,bill
tote,sack,rent
bill,rent,sack
rent,bill,tote
bout,race,gyro
race,bout,stew
gyro,stew,bout
stew,gyro,race
carp,pike,suit
pike,carp,gown
suit,gown,carp
gown,suit,pike
plug,fuse,arms
fuse,plug,body
arms,body,plug
body,arms,fuse
loaf,pita,snow
pita,loaf,hail
snow,hail,loaf
hail,snow,pita
pore,skin,mama
skin,pore,aunt
mama,aunt,pore
aunt,mama,skin
shoe,pair,tofu
pair,shoe,idly
tofu,idly,shoe
idly,tofu,pair
bear,wolf,huge
wolf,bear,vast
huge,vast,bear
vast,huge,wolf
rice,bran,poop
bran,rice,turd
poop,turd,rice
turd,poop,bran
lace,felt,city
felt,lace,town
city,town,lace
town,city,felt
bomb,nuke,deck
nuke,bomb,step
deck,step,bomb
step,deck,nuke
gnat,moth,jury
moth,gnat,bail
jury,bail,gnat
bail,jury,moth
door,sill,cake
sill,door,flan
cake,flan,door
flan,cake,sill
bats,mole,show
mole,bats,play
show,play,bats
play,show,mole
lock,safe,also
safe,lock,thus
also,thus,lock
thus,also,safe
lens,zoom,clef
zoom,lens,mike
clef,mike,lens
mike,clef,zoom
meth,dope,stop
dope,meth,halt
stop,halt,meth
halt,stop,dope
yoga,pray,fund
pray,yoga,rich
fund,rich,yoga
rich,fund,pray
cold,warm,mint
warm,cold,aloe
mint,aloe,cold
aloe,mint,warm
hers,your,ally
your,hers,tact
ally,tact,hers
tact,ally,your
want,need,plan
need,want,boss
plan,boss,want
boss,plan,need
sale,cost,prey
cost,sale,bios
prey,bios,sale
bios,prey,cost
mood,vibe,leaf
vibe,mood,stem
leaf,stem,mood
stem,leaf,vibe
bode,omen,weak
omen,bode,puny
weak,puny,bode
puny,weak,omen
bold,wimp,spin
wimp,bold,axel
spin,axel,bold
axel,spin,wimp
lard,oven,flip
oven,lard,dive
flip,dive,lard
dive,flip,oven
yogi,diet,gawk
diet,yogi,ogle
gawk,ogle,yogi
ogle,gawk,diet
hoot,purr,vine
purr,hoot,reed
vine,reed,hoot
reed,vine,purr
hock,rump,sail
rump,hock,flag
sail,flag,hock
flag,sail,rump
raft,pump,mold
pump,raft,slug
mold,slug,raft
slug,mold,pump
lube,oily,eats
oily,lube,cook
eats,cook,lube
cook,eats,oily
eave,roof,cult
roof,eave,team
cult,team,eave
team,cult,roof
hawk,loon,afro
loon,hawk,jive
afro,jive,hawk
jive,afro,loon
june,week,alum
week,june,salt
alum,salt,june
salt,alum,week
reap,sown,fang
sown,reap,tusk
fang,tusk,reap
tusk,fang,sown
peso,watt,glob
watt,peso,ooze
glob,ooze,peso
ooze,glob,watt
seep,gush,cock
gush,seep,wing
cock,wing,seep
wing,cock,gush
bent,warp,vice
warp,bent,swab
vice,swab,bent
swab,vice,warp
sole,bass,amen
bass,sole,lent
amen,lent,sole
lent,amen,bass
dorm,frat,gasp
frat,dorm,sigh
gasp,sigh,dorm
sigh,gasp,frat
data,file,noun
file,data,they
noun,they,data
they,noun,file
lots,many,tire
many,lots,puck
tire,puck,lots
puck,tire,many
nape,chin,tong
chin,nape,spat
tong,spat,nape
spat,tong,chin
gent,dame,porn
dame,gent,orgy
porn,orgy,gent
orgy,porn,dame
gala,prom,deny
prom,gala,nope
deny,nope,gala
nope,deny,prom
guts,bile,soot
bile,guts,inky
soot,inky,guts
inky,soot,bile
vain,self,gout
self,vain,knee
gout,knee,vain
knee,gout,self
meld,ante,bony
ante,meld,jaws
bony,jaws,meld
jaws,bony,ante
boxy,dice,stat
dice,boxy,info
stat,info,boxy
info,stat,dice
lick,balm,upon
balm,lick,over
upon,over,lick
over,upon,balm
gosh,fuck,kiln
fuck,gosh,clay
kiln,clay,gosh
clay,kiln,fuck
